model,architecture,condition,metric,n,mean,sd,median,q1,q3,min,max
gpt-4o,ACT+Debugger,passing,halstead_volume,127,53.43637128277665,60.83309942498768,36.0,11.60964047443681,75.7156554781482,0.0,323.85477931016226
gpt-4o,ACT+Debugger,passing,halstead_difficulty,127,2.2256618768443386,1.7265344258251418,1.875,1.0,3.25,0.0,7.2
gpt-4o,ACT+Debugger,passing,halstead_effort,127,204.73434987643805,349.67407700589746,68.33680652339717,11.60964047443681,237.77122959776324,0.0,2168.418957120217
gpt-4o-mini,Basic,primary,loc,164,7.280487804878049,4.7984516680793305,6.0,4.0,10.0,2.0,30.0
gpt-4o-mini,Basic,primary,sloc,164,6.7682926829268295,4.497576117445493,6.0,3.0,9.0,2.0,30.0
gpt-4o-mini,Basic,primary,comments,164,0.018292682926829267,0.23426064283290918,0.0,0.0,0.0,0.0,3.0
gpt-4o-mini,Basic,primary,multi,164,0.08536585365853659,0.7785659227096884,0.0,0.0,0.0,0.0,8.0
gpt-4o-mini,Basic,primary,blank,164,0.4268292682926829,0.7435693688249106,0.0,0.0,1.0,0.0,4.0
gpt-4o-mini,Basic,primary,cc,164,3.3841463414634148,1.9038204735821875,3.0,2.0,5.0,1.0,14.0
gpt-4o-mini,Basic,primary,halstead_volume,164,41.6864721906113,50.80541500510534,27.0,4.754887502163469,57.96822643564701,0.0,271.4137173634208
gpt-4o-mini,Basic,primary,halstead_difficulty,164,1.880140879921424,1.601678940495411,1.5,0.5,2.8236607142857144,0.0,7.0588235294117645
gpt-4o-mini,Basic,primary,halstead_effort,164,145.0493978199192,266.7345897289962,42.793987519471216,2.3774437510817346,189.19483466737125,0.0,1915.8615343300291
gpt-4o-mini,AC,primary,loc,164,11.109756097560975,5.637312368291529,10.0,7.0,13.0,2.0,36.0
gpt-4o-mini,AC,primary,sloc,164,10.140243902439025,4.5790764401177135,9.5,7.0,12.0,2.0,31.0
gpt-4o-mini,AC,primary,comments,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,AC,primary,multi,164,0.21951219512195122,2.1707728981426153,0.0,0.0,0.0,0.0,26.0
gpt-4o-mini,AC,primary,blank,164,0.75,1.1794508444519964,0.0,0.0,1.0,0.0,5.0
gpt-4o-mini,AC,primary,cc,164,4.628048780487805,2.087519112891094,4.0,3.0,6.0,1.0,14.0
gpt-4o-mini,AC,primary,halstead_volume,164,59.00254069838725,55.59793812243138,42.34912232859165,18.455252945586196,84.0,0.0,369.87118895965546
gpt-4o-mini,AC,primary,halstead_difficulty,164,2.618884961410258,1.806258828529923,2.3095238095238093,1.3333333333333333,3.7625,0.0,9.942307692307692
gpt-4o-mini,AC,primary,halstead_effort,164,236.6903955481713,393.3679300517154,101.92965835964816,24.0,267.8413905259178,0.0,3677.3731671565743
gpt-4o-mini,ACT,primary,loc,164,10.603658536585366,5.5723010220404845,10.0,7.0,13.0,2.0,40.0
gpt-4o-mini,ACT,primary,sloc,164,9.847560975609756,4.797231451315035,9.0,7.0,12.0,2.0,37.0
gpt-4o-mini,ACT,primary,comments,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,ACT,primary,multi,164,0.024390243902439025,0.31234752377721214,0.0,0.0,0.0,0.0,4.0
gpt-4o-mini,ACT,primary,blank,164,0.7317073170731707,1.2389267123093841,0.0,0.0,1.0,0.0,9.0
gpt-4o-mini,ACT,primary,cc,164,4.640243902439025,2.3728711999511654,4.0,3.0,6.0,1.0,16.0
gpt-4o-mini,ACT,primary,halstead_volume,164,61.33230926689321,60.85985065242776,48.96731887957232,18.094737505048094,83.11939414268292,0.0,356.5691823574533
gpt-4o-mini,ACT,primary,halstead_difficulty,164,2.6365948425895613,1.8598090046579816,2.2857142857142856,1.15,3.5666666666666664,0.0,10.384615384615385
gpt-4o-mini,ACT,primary,halstead_effort,164,248.85548084237917,389.54216852804007,116.59530480615095,18.575424759098897,295.5611531955445,0.0,2561.745109574997
