model,metric,condition,arch_a,arch_b,layers,mechanism,n,wilcoxon_stat,p_raw,p_holm,significant,rank_biserial,rrb_magnitude,median_diff,higher_complexity
gpt-4o,cc,passing,ACT,ACT+Debugger,D,Single,127,172.0,0.9285465910920561,1.0,False,0.019943019943019943,negligible,0.0,ACT
gpt-4o,cc,passing,Debugger,AC+Debugger,R,Single,127,4.0,0.16820413904818,1.0,False,0.6190476190476191,large,0.0,Debugger
gpt-4o,cc,passing,Debugger,ACT+Debugger,"R,T",Compound,127,248.5,1.9820298035515112e-06,1.969342053613858e-05,True,-0.7095265926358855,large,-1.0,ACT+Debugger
gpt-4o,cc,passing,AC+Debugger,ACT+Debugger,T,Single,127,185.0,8.802837209489044e-08,1.3204255814233566e-06,True,-0.7909604519774012,large,-1.0,ACT+Debugger
gpt-4o,halstead_volume,passing,Basic,AC,R,Single,127,681.0,6.673749320555932e-06,8.675874116722712e-05,True,-0.5796296296296296,large,-22.529325012980816,AC
gpt-4o,halstead_volume,passing,Basic,ACT,"R,T",Compound,127,661.0,1.975165927870918e-05,0.00021726825206580097,True,-0.5597735597735598,large,-22.529325012980816,ACT
gpt-4o,halstead_volume,passing,Basic,Debugger,D,Single,127,21.0,0.08686008151624075,0.5211604890974445,False,-0.5384615384615384,large,0.0,Debugger
gpt-4o,halstead_volume,passing,Basic,AC+Debugger,"R,D",Compound,127,16.0,0.24112136827741837,0.9644854731096735,False,-0.41818181818181815,moderate,0.0,AC+Debugger
gpt-4o,halstead_volume,passing,Basic,ACT+Debugger,"R,T,D",Compound,127,586.5,4.261487126224543e-07,6.392230689336814e-06,True,-0.6467931345980127,large,-20.490224995673064,ACT+Debugger
gpt-4o,halstead_volume,passing,AC,ACT,T,Single,127,408.0,0.5864892088440048,1.0,False,0.09634551495016612,negligible,0.0,AC
gpt-4o,halstead_volume,passing,AC,Debugger,R<->D,Swap,127,717.0,6.793591752058564e-05,0.0006114232576852707,True,0.5224775224775224,large,22.529325012980816,AC
gpt-4o,halstead_volume,passing,AC,AC+Debugger,D,Single,127,731.0,5.5293818519877495e-05,0.0005529381851987749,True,0.5254787406686141,large,22.529325012980816,AC
gpt-4o,halstead_volume,passing,AC,ACT+Debugger,"T,D",Compound,127,401.0,0.5277561255172449,1.0,False,-0.11184939091915837,small,2.039100017307753,ACT+Debugger
gpt-4o,halstead_volume,passing,ACT,Debugger,"R,T,D",Compound,127,850.5,0.000588678475123609,0.004709427800988872,True,0.44790652385589097,moderate,22.529325012980816,ACT
gpt-4o,halstead_volume,passing,ACT,AC+Debugger,T<->D,Swap,127,837.0,0.0007407597809581564,0.005185318466707095,True,0.44255744255744256,moderate,22.529325012980816,ACT
gpt-4o,halstead_volume,passing,ACT,ACT+Debugger,D,Single,127,359.5,0.3575449949127846,1.0,False,-0.16492450638792103,small,2.039100017307753,ACT+Debugger
